"X.","Human","Physical","Nature.society","Methods","Other","NA.","Overall"
"","(N=67)","(N=65)","(N=22)","(N=61)","(N=1)","(N=2)","(N=218)"
"Validating research findings","","","","","","",""
"  Not important","10 (14.9%)","1 (1.5%)","3 (13.6%)","3 (4.9%)","0 (0%)","0 (0%)","17 (7.8%)"
"  Somewhat important","22 (32.8%)","21 (32.3%)","6 (27.3%)","23 (37.7%)","0 (0%)","0 (0%)","72 (33.0%)"
"  Somewhat not important","15 (22.4%)","3 (4.6%)","5 (22.7%)","2 (3.3%)","0 (0%)","0 (0%)","25 (11.5%)"
"  Very important","12 (17.9%)","40 (61.5%)","7 (31.8%)","31 (50.8%)","1 (100%)","1 (50.0%)","92 (42.2%)"
"  Missing","8 (11.9%)","0 (0%)","1 (4.5%)","2 (3.3%)","0 (0%)","1 (50.0%)","12 (5.5%)"
"Reducing the risk of errors in the research process","","","","","","",""
"  Not important","8 (11.9%)","0 (0%)","4 (18.2%)","2 (3.3%)","0 (0%)","0 (0%)","14 (6.4%)"
"  Somewhat important","26 (38.8%)","21 (32.3%)","6 (27.3%)","21 (34.4%)","1 (100%)","0 (0%)","75 (34.4%)"
"  Somewhat not important","13 (19.4%)","3 (4.6%)","4 (18.2%)","2 (3.3%)","0 (0%)","0 (0%)","22 (10.1%)"
"  Very important","12 (17.9%)","41 (63.1%)","7 (31.8%)","33 (54.1%)","0 (0%)","1 (50.0%)","94 (43.1%)"
"  Missing","8 (11.9%)","0 (0%)","1 (4.5%)","3 (4.9%)","0 (0%)","1 (50.0%)","13 (6.0%)"
"Increasing trust in study results","","","","","","",""
"  Not important","6 (9.0%)","0 (0%)","3 (13.6%)","1 (1.6%)","0 (0%)","0 (0%)","10 (4.6%)"
"  Somewhat important","27 (40.3%)","11 (16.9%)","6 (27.3%)","16 (26.2%)","0 (0%)","0 (0%)","60 (27.5%)"
"  Somewhat not important","11 (16.4%)","5 (7.7%)","6 (27.3%)","3 (4.9%)","0 (0%)","0 (0%)","25 (11.5%)"
"  Very important","15 (22.4%)","49 (75.4%)","7 (31.8%)","38 (62.3%)","1 (100%)","1 (50.0%)","111 (50.9%)"
"  Missing","8 (11.9%)","0 (0%)","0 (0%)","3 (4.9%)","0 (0%)","1 (50.0%)","12 (5.5%)"
"Preventing duplication of efforts in future research projects","","","","","","",""
"  Not important","11 (16.4%)","1 (1.5%)","7 (31.8%)","2 (3.3%)","0 (0%)","0 (0%)","21 (9.6%)"
"  Somewhat important","20 (29.9%)","22 (33.8%)","4 (18.2%)","28 (45.9%)","1 (100%)","0 (0%)","75 (34.4%)"
"  Somewhat not important","19 (28.4%)","16 (24.6%)","6 (27.3%)","4 (6.6%)","0 (0%)","1 (50.0%)","46 (21.1%)"
"  Very important","9 (13.4%)","26 (40.0%)","4 (18.2%)","24 (39.3%)","0 (0%)","0 (0%)","63 (28.9%)"
"  Missing","8 (11.9%)","0 (0%)","1 (4.5%)","3 (4.9%)","0 (0%)","1 (50.0%)","13 (6.0%)"
"Establishing credibility of research in geography","","","","","","",""
"  Not important","7 (10.4%)","2 (3.1%)","4 (18.2%)","3 (4.9%)","0 (0%)","0 (0%)","16 (7.3%)"
"  Somewhat important","21 (31.3%)","24 (36.9%)","8 (36.4%)","23 (37.7%)","0 (0%)","0 (0%)","76 (34.9%)"
"  Somewhat not important","19 (28.4%)","3 (4.6%)","5 (22.7%)","3 (4.9%)","0 (0%)","0 (0%)","30 (13.8%)"
"  Very important","11 (16.4%)","35 (53.8%)","5 (22.7%)","29 (47.5%)","1 (100%)","1 (50.0%)","82 (37.6%)"
"  Missing","9 (13.4%)","1 (1.5%)","0 (0%)","3 (4.9%)","0 (0%)","1 (50.0%)","14 (6.4%)"
"Establishing credibility of research in your primary subfield","","","","","","",""
"  Not important","9 (13.4%)","1 (1.5%)","4 (18.2%)","3 (4.9%)","0 (0%)","0 (0%)","17 (7.8%)"
"  Somewhat important","17 (25.4%)","23 (35.4%)","5 (22.7%)","25 (41.0%)","0 (0%)","0 (0%)","70 (32.1%)"
"  Somewhat not important","19 (28.4%)","3 (4.6%)","6 (27.3%)","1 (1.6%)","0 (0%)","0 (0%)","29 (13.3%)"
"  Very important","14 (20.9%)","38 (58.5%)","7 (31.8%)","29 (47.5%)","1 (100%)","1 (50.0%)","90 (41.3%)"
"  Missing","8 (11.9%)","0 (0%)","0 (0%)","3 (4.9%)","0 (0%)","1 (50.0%)","12 (5.5%)"
"Communicating research to academics","","","","","","",""
"  Not important","10 (14.9%)","1 (1.5%)","3 (13.6%)","2 (3.3%)","0 (0%)","0 (0%)","16 (7.3%)"
"  Somewhat important","25 (37.3%)","21 (32.3%)","6 (27.3%)","25 (41.0%)","0 (0%)","0 (0%)","77 (35.3%)"
"  Somewhat not important","16 (23.9%)","10 (15.4%)","7 (31.8%)","7 (11.5%)","0 (0%)","0 (0%)","40 (18.3%)"
"  Very important","8 (11.9%)","33 (50.8%)","6 (27.3%)","24 (39.3%)","1 (100%)","1 (50.0%)","73 (33.5%)"
"  Missing","8 (11.9%)","0 (0%)","0 (0%)","3 (4.9%)","0 (0%)","1 (50.0%)","12 (5.5%)"
"Communicating research to practitioners","","","","","","",""
"  Not important","9 (13.4%)","2 (3.1%)","5 (22.7%)","2 (3.3%)","0 (0%)","0 (0%)","18 (8.3%)"
"  Somewhat important","20 (29.9%)","24 (36.9%)","6 (27.3%)","17 (27.9%)","1 (100%)","0 (0%)","68 (31.2%)"
"  Somewhat not important","24 (35.8%)","8 (12.3%)","5 (22.7%)","10 (16.4%)","0 (0%)","0 (0%)","47 (21.6%)"
"  Very important","6 (9.0%)","31 (47.7%)","6 (27.3%)","29 (47.5%)","0 (0%)","1 (50.0%)","73 (33.5%)"
"  Missing","8 (11.9%)","0 (0%)","0 (0%)","3 (4.9%)","0 (0%)","1 (50.0%)","12 (5.5%)"
"Training geography students","","","","","","",""
"  Not important","9 (13.4%)","2 (3.1%)","2 (9.1%)","1 (1.6%)","0 (0%)","0 (0%)","14 (6.4%)"
"  Somewhat important","25 (37.3%)","23 (35.4%)","7 (31.8%)","25 (41.0%)","0 (0%)","0 (0%)","80 (36.7%)"
"  Somewhat not important","12 (17.9%)","3 (4.6%)","5 (22.7%)","2 (3.3%)","0 (0%)","0 (0%)","22 (10.1%)"
"  Very important","13 (19.4%)","37 (56.9%)","7 (31.8%)","30 (49.2%)","1 (100%)","1 (50.0%)","89 (40.8%)"
"  Missing","8 (11.9%)","0 (0%)","1 (4.5%)","3 (4.9%)","0 (0%)","1 (50.0%)","13 (6.0%)"
"Meta-analyses","","","","","","",""
"  Not important","6 (9.0%)","1 (1.5%)","4 (18.2%)","1 (1.6%)","0 (0%)","0 (0%)","12 (5.5%)"
"  Somewhat important","27 (40.3%)","25 (38.5%)","6 (27.3%)","29 (47.5%)","1 (100%)","0 (0%)","88 (40.4%)"
"  Somewhat not important","9 (13.4%)","5 (7.7%)","4 (18.2%)","7 (11.5%)","0 (0%)","0 (0%)","25 (11.5%)"
"  Very important","17 (25.4%)","31 (47.7%)","8 (36.4%)","21 (34.4%)","0 (0%)","1 (50.0%)","78 (35.8%)"
"  Missing","8 (11.9%)","3 (4.6%)","0 (0%)","3 (4.9%)","0 (0%)","1 (50.0%)","15 (6.9%)"
